"symbol"	"ensemble_ID"	"entrez_ID"	"norm_exp"
"TSPAN6"	"ENSG00000000003"	7105	0.111082949200793
"DPM1"	"ENSG00000000419"	8813	0.509171922097928
"SCYL3"	"ENSG00000000457"	57147	0.465162039853475
"C1orf112"	"ENSG00000000460"	55732	0.452648972637624
"FGR"	"ENSG00000000938"	2268	0.434344271211539
"CFH"	"ENSG00000000971"	3075	0.231603783553167
"FUCA2"	"ENSG00000001036"	2519	0.338106662778164
"GCLC"	"ENSG00000001084"	2729	0.516045321404334
"NFYA"	"ENSG00000001167"	4800	0.617975653835398
"STPG1"	"ENSG00000001460"	90529	0.341566023436831
"NIPAL3"	"ENSG00000001461"	57185	0.519242147324238
"LAS1L"	"ENSG00000001497"	81887	0.575487186829996
"ENPP4"	"ENSG00000001561"	22875	0.386246317739524
"SEMA3F"	"ENSG00000001617"	6405	0.427886164648381
"CFTR"	"ENSG00000001626"	1080	0
"ANKIB1"	"ENSG00000001629"	54467	0.604797984976644
"CYP51A1"	"ENSG00000001630"	1595	0.339276455962046
"KRIT1"	"ENSG00000001631"	889	0.544535894092014
"RAD52"	"ENSG00000002016"	5893	0.507624159298278
"BAD"	"ENSG00000002330"	572	0.456907063858171
"LAP3"	"ENSG00000002549"	51056	0.588812197151615
"CD99"	"ENSG00000002586"	4267	0.691386735599682
"HS3ST1"	"ENSG00000002587"	9957	0.251245301485661
"AOC1"	"ENSG00000002726"	26	0
"WNT16"	"ENSG00000002745"	51384	0.257926620612267
"HECW1"	"ENSG00000002746"	23072	0.269819428050087
"MAD1L1"	"ENSG00000002822"	8379	0.552546985908478
"LASP1"	"ENSG00000002834"	3927	0.658003034677374
"SNX11"	"ENSG00000002919"	29916	0.462711408183818
"TMEM176A"	"ENSG00000002933"	55365	0.143572629076782
"M6PR"	"ENSG00000003056"	4074	0.572128535976163
"KLHL13"	"ENSG00000003096"	90293	0.143572629076782
"CYP26B1"	"ENSG00000003137"	56603	0.0555414746003966
"ICA1"	"ENSG00000003147"	3382	0.254655578277575
"DBNDD1"	"ENSG00000003249"	79007	0.269819428050087
"ALS2"	"ENSG00000003393"	57679	0.488635094181093
"CASP10"	"ENSG00000003400"	843	0.578123457526542
"CFLAR"	"ENSG00000003402"	8837	0.651586540861222
"TFPI"	"ENSG00000003436"	7035	0.301382746048314
"NDUFAF7"	"ENSG00000003509"	55471	0.480691247154163
"RBM5"	"ENSG00000003756"	10181	0.72121328882075
"MTMR7"	"ENSG00000003987"	9108	0.3759149377654
"SLC7A2"	"ENSG00000003989"	6542	0.0555414746003966
"ARF5"	"ENSG00000004059"	381	0.562487927304073
"SARM1"	"ENSG00000004139"	23098	0.361891577071861
"POLDIP2"	"ENSG00000004142"	26073	0.563272118180086
"PLXND1"	"ENSG00000004399"	23129	0.65997951711171
"AK2"	"ENSG00000004455"	204	0.619326281322465
"CD38"	"ENSG00000004468"	952	0.64162559856793
"FKBP4"	"ENSG00000004478"	2288	0.492329969606503
"KDM1A"	"ENSG00000004487"	23028	0.661064998198155
"RBM6"	"ENSG00000004534"	10180	0.670522653027276
"CAMKK1"	"ENSG00000004660"	84254	0.481581033829182
"RECQL"	"ENSG00000004700"	5965	0.550825469454945
"HSPB6"	"ENSG00000004776"	126393	0.0880311544763851
"ARHGAP33"	"ENSG00000004777"	115703	0.544848987356549
"NDUFAB1"	"ENSG00000004779"	4706	0.483235251617415
"PDK4"	"ENSG00000004799"	5166	0.318137148440214
"SLC22A16"	"ENSG00000004809"	85413	0.490062827452999
"ZMYND10"	"ENSG00000004838"	51364	0.328077413983312
"ABCB5"	"ENSG00000004846"	340273	0.0880311544763851
"ARX"	"ENSG00000004848"	170302	0
"SLC25A13"	"ENSG00000004864"	10165	0.480889833154121
"ST7"	"ENSG00000004866"	102466616	0.340429417004291
"CDC27"	"ENSG00000004897"	996	0.624346680216788
"CALCR"	"ENSG00000004948"	799	0
"HCCS"	"ENSG00000004961"	3052	0.445265353886792
"DVL2"	"ENSG00000004975"	1856	0.558973237204868
"PRSS22"	"ENSG00000005001"	64063	0
"UPF1"	"ENSG00000005007"	5976	0.63079991617094
"SKAP2"	"ENSG00000005020"	8935	0.506479433973186
"SLC25A5"	"ENSG00000005022"	292	0.692228333934887
"HOXA11"	"ENSG00000005073"	3207	0
"POLR2J"	"ENSG00000005075"	5439	0.482266323124937
"DHX33"	"ENSG00000005100"	56919	0.519057588140989
"MEOX1"	"ENSG00000005102"	4222	0.0880311544763851
"THSD7A"	"ENSG00000005108"	221981	0.35456034981689
"LIG3"	"ENSG00000005156"	3980	0.559122802175907
"RPAP3"	"ENSG00000005175"	79657	0.514625922761369
"ACSM3"	"ENSG00000005187"	6296	0.34268673275396
"CIAPIN1"	"ENSG00000005194"	57019	0.525105724081137
"FAM214B"	"ENSG00000005238"	80256	0.503019013618954
"COPZ2"	"ENSG00000005243"	51226	0.0880311544763851
"PRKAR2B"	"ENSG00000005249"	5577	0.505464206148643
"MSL3"	"ENSG00000005302"	10943	0.587039004105223
"CREBBP"	"ENSG00000005339"	1387	0.704718061628397
"MPO"	"ENSG00000005381"	4353	0.547180669153291
"PON1"	"ENSG00000005421"	5444	0
"GCFC2"	"ENSG00000005436"	6936	0.525561329629656
"WDR54"	"ENSG00000005448"	84058	0.447100458746348
"CROT"	"ENSG00000005469"	54677	0.414761823985715
"ABCB4"	"ENSG00000005471"	5244	0.417433051672258
